symbol,strategy,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,quantity,gross_pnl,costs,net_pnl,return_pct,exit_reason
XAUUSD,MetalsStatArb,2015-12-03,2015-12-04,1,1054.4000244140625,1063.0,3.366971896599208,2895.587610929087,13.892126045368332,2881.6954848837186,0.008117142818441832,rebalance
USDCHF,FXStatArb,2015-11-06,2015-12-30,1,0.9976502393964415,0.9922000169754028,0.38544746199040736,-210.07743994725624,4.426632845568887,-214.50407279282513,-0.005578173794400046,rebalance
XAGUSD,MetalsStatArb,2015-12-03,2015-12-30,-1,13.854999542236328,13.925000190734863,3.0283343589175855,-1059.9268449731335,42.07113513902345,-1101.997980112157,-0.0052529159802918775,rebalance
EURUSD,RiskPreservation,2015-11-06,2016-01-04,1,1.0884946584701538,1.0855052471160889,2.2083119843839327,-660.155291943501,22.460764367707664,-682.6160563112086,-0.002839813163026211,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-01-04,1,0.9976502393964415,0.9994000196456909,2.110312088956521,369.2582413008432,24.26605673141032,344.9921845694329,0.0016386426668383658,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-01-06,1,1.0884946584701538,1.0751993656158447,0.883324793753573,-1174.4061818425923,8.966098865781762,-1183.372280708374,-0.01230763673241189,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-01-06,1,0.9976502393964415,1.0084999799728394,0.8441248355826084,915.8535480165807,9.721785697594054,906.1317623189866,0.010759853657021737,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-01-08,1,0.9976502393964415,0.9937700033187866,0.3376499342330434,-131.0161456428847,3.8787671277406317,-134.89491277062535,-0.00400452114374092,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-01-08,1,1.0884946584701538,1.0927051305770874,0.3533299175014292,148.76857621849155,3.598810167291816,145.16976605119973,0.0037745871992579086,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-01-13,1,1.0884946584701538,1.0843987464904785,0.14133196700057168,-57.88832967487148,1.4371761517134807,-59.32550582658496,-0.003856334913489334,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-01-13,1,0.9976502393964415,1.0029000043869019,0.1350599736932174,70.90331215071514,1.5539730465044106,69.34933910421073,0.0051468007399858165,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-01-19,1,1.0884946584701538,1.0895025730133057,0.05653278680022866,5.698021798085372,0.5754475277587529,5.122574270326619,0.0008324565349407592,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-01-19,1,0.9976502393964415,1.0049999952316284,0.054023989477286954,39.70631319007672,0.6218161183683599,39.08449707170836,0.0072516955838742864,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-01-21,1,1.0884946584701538,1.0877013206481934,0.02261311472009147,-1.7939839179779138,0.23009754725075698,-2.024081465228671,-0.0008223208459575148,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-01-21,1,0.9976502393964415,1.0059000253677368,0.02160959579091478,17.82745402012514,0.24876534592222588,17.578688674202912,0.008153827513447287,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-01-25,1,0.9976502393964415,1.0162800550460815,0.008643838316365914,16.103311433919206,0.09968558496540775,16.0036258489538,0.018558097134061768,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-01-25,1,1.0884946584701538,1.079901933670044,0.009045245888036589,-7.772330866522377,0.09189792415431616,-7.864228790676693,-0.007987474050633258,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-01-27,1,0.9976502393964415,1.0169600248336792,0.0034575353265463653,6.676426529727995,0.039878936025286305,6.6365475937027085,0.01923965481966235,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-01-27,1,1.0884946584701538,1.0864014625549316,0.0036180983552146356,-0.757338869800732,0.03680620153126263,-0.7941450713319946,-0.002016476541610379,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-02-01,1,1.0884946584701538,1.0826259851455688,0.0014472393420858541,-0.8493374921189142,0.014711552573621079,-0.8640490446925353,-0.005484938118740045,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-02-01,1,0.9976502393964415,1.0242999792099,0.0013830141306185463,3.685696673932065,0.01597187693135534,3.6697247970007094,0.026596749808757536,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-02-03,1,1.0884946584701538,1.0922038555145264,0.0005788957368343418,0.2147238356065815,0.005895710206097515,0.20882812540048398,0.0033140750293917777,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-02-03,1,0.9976502393964415,1.0187300443649292,0.0005532056522474185,1.1661467256840619,0.006382588133664361,1.1597641375503975,0.021013807785264984,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-02-05,1,1.0884946584701538,1.119996428489685,0.00023155829473373672,0.7294496146817009,0.0023711552840477877,0.7270784593976531,0.0288466000697627,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-02-05,1,0.9976502393964415,0.9932000041007996,0.00022128226089896736,-0.09847581277520294,0.0025417365634047675,-0.10101754933860771,-0.004575851451191686,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-02-09,1,1.0884946584701538,1.1190940141677856,9.262331789349469e-05,0.28342138501178715,0.0009482949444018973,0.28247309006738525,0.028017568648624376,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-02-09,1,0.9976502393964415,0.9872199892997742,8.851290435958696e-05,-0.09232117292528867,0.001015636008405603,-0.09333680893369428,-0.01056983106908572,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-02-11,1,0.9976502393964415,0.9733899831771851,3.540516174383478e-05,-0.08589382953896475,0.00040527509615486415,-0.08629910463511961,-0.02443213368411177,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-02-11,1,1.0884946584701538,1.1284006834030151,3.7049327157397876e-05,0.14784913732888558,0.00038000758942724233,0.14746912973945833,0.03656743430889759,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-02-16,1,1.0884946584701538,1.117817997932434,1.4819730862959154e-05,0.043456399883418304,0.00015168937066993424,0.04330471051274837,0.026845316028827212,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-02-16,1,0.9976502393964415,0.9859200119972229,1.4162064697533913e-05,-0.016612423934451857,0.00016246494061956837,-0.016774888875071427,-0.011872844140872944,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-02-18,1,1.0884946584701538,1.1121985912322998,5.927892345183662e-06,0.014051436157147348,6.0609125792049305e-05,0.013990827031355298,0.02168287056501757,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-02-18,1,0.9976502393964415,0.9926300048828125,5.664825879013565e-06,-0.0028438754391522554,6.50619981305199e-05,-0.0029089374372827754,-0.005147181758642454,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-02-22,1,1.0884946584701538,1.1123965978622437,2.371156938073465e-06,0.005667524942296529,2.4244589326408478e-05,0.005643280352970121,0.02186477560999917,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-02-22,1,0.9976502393964415,0.9906100034713745,2.2659303516054264e-06,-0.001595268426507216,2.6015644887191043e-05,-0.001621284071394407,-0.007171900374088078,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-02-24,1,0.9976502393964415,0.9911999702453613,9.063721406421707e-07,-0.0005846344258182679,1.040732741377211e-05,-0.00059504175323204,-0.006580555881444799,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-02-24,1,1.0884946584701538,1.1024993658065796,9.484627752293859e-07,0.0013282943586581737,9.679061418198181e-06,0.0013186152972399754,0.012772370760780225,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-02-26,1,1.0884946584701538,1.1024993658065796,3.793851100917544e-07,0.0005313177434632696,3.871624567279273e-06,0.0005274461188959903,0.012772370760780227,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-02-26,1,0.9976502393964415,0.9901000261306763,3.625488562568683e-07,-0.00027373211839986137,4.162133398547393e-06,-0.0002778942517984088,-0.007683068638288517,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-03-01,1,1.0884946584701538,1.0886961221694946,1.5175404403670172e-07,3.057293110156368e-06,1.5444604308262057e-06,1.5128326793301622e-06,9.158499412164443e-05,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-03-01,1,0.9976502393964415,0.9979100227355957,1.4501954250274732e-07,3.767366099398076e-06,1.6671185636881442e-06,2.1002475357099318e-06,0.00014516624462208573,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-03-03,1,1.0884946584701538,1.0870037078857422,6.07016176146807e-08,-9.050311225733895e-06,6.175787077610865e-07,-9.667889933494982e-06,-0.0014632048454953507,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-03-03,1,0.9976502393964415,0.996399998664856,5.800781700109894e-08,-7.252373556513336e-06,6.666722390753324e-07,-7.919045795588669e-06,-0.0013683841066231036,de_risk
EURUSD,RiskPreservation,2015-11-06,2016-03-07,1,1.0884946584701538,1.0993964672088623,2.4280647045872284e-08,2.647029701461871e-05,2.476332915345329e-07,2.6222663723084178e-05,0.00992179495353991,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-03-07,1,0.9976502393964415,0.9941999912261963,2.3203126800439577e-08,-8.005654578718391e-06,2.665668015270107e-07,-8.272221380245402e-06,-0.003573529107983328,de_risk
USDCHF,RiskPreservation,2015-11-06,2016-03-09,1,0.9976502393964415,0.9962999820709229,9.281250720175831e-09,-1.2532076774892508e-06,1.0666570169388424e-07,-1.359873379183135e-06,-0.001468634264094858,de_risk
